site_id,utc_time,epoch_time,lat,lon,sitetype,pm25,pm10,no2,co,o3,so2,weather,temperature,pressure,humidity,wind_direction,wind_speed_kmph
dongsihuan_aq,2018-04-28 00:00:00,1524873600,39.94,116.48,Stations Near Traffic,54,181,106,0.8,2,12,CLEAR_DAY,16.84,1008.04,40.54,110.44,2.72
dongsi_aq,2018-04-28 01:00:00,1524877200,39.93,116.42,Urban Stations,67,169,83,0.6,29,8,CLEAR_DAY,18.65,1005.95,37.8,115.74,2.87
tiantan_aq,2018-04-28 01:00:00,1524877200,39.89,116.41,Urban Stations,59,162,104,0.8,12,6,CLEAR_DAY,18.52,1006.39,38.06,116.56,2.59
guanyuan_aq,2018-04-28 01:00:00,1524877200,39.93,116.34,Urban Stations,56,152,69,0.6,50,8,CLEAR_DAY,18.95,1004,37.4,104.4,3.06
wanshouxigong_aq,2018-04-28 01:00:00,1524877200,39.88,116.35,Urban Stations,65,206,86,0.8,22,7,CLEAR_DAY,18.9,1005.2,37.93,115.91,2.72
aotizhongxin_aq,2018-04-28 01:00:00,1524877200,39.98,116.4,Urban Stations,64,137,77,0.7,26,4,CLEAR_DAY,18.47,1004.53,37.14,99.89,3.54
nongzhanguan_aq,2018-04-28 01:00:00,1524877200,39.94,116.46,Urban Stations,56,175,101,0.8,10,6,CLEAR_DAY,18.64,1007.27,38.17,125.98,2.63
wanliu_aq,2018-04-28 01:00:00,1524877200,39.99,116.29,Urban Stations,52,171,68,0.7,43,32,CLEAR_DAY,18.96,1000.64,36.34,95.07,3.8
beibuxinqu_aq,2018-04-28 01:00:00,1524877200,40.09,116.17,Urban Stations,45,160,67,0.7,35,2,CLEAR_DAY,19,987.25,35.1,97.59,3.45
zhiwuyuan_aq,2018-04-28 01:00:00,1524877200,40,116.21,Urban Stations,,,,,,,CLEAR_DAY,19.04,995.41,35.92,91.85,3.93
fengtaihuayuan_aq,2018-04-28 01:00:00,1524877200,39.86,116.28,Urban Stations,56,183,80,0.7,36,7,CLEAR_DAY,19.27,1003.74,37.81,106.06,2.8
yungang_aq,2018-04-28 01:00:00,1524877200,39.82,116.15,Urban Stations,50,76,52,0.6,50,6,CLEAR_DAY,19.63,994.44,38,94.58,2.9
gucheng_aq,2018-04-28 01:00:00,1524877200,39.91,116.18,Urban Stations,53,138,64,0.6,49,3,CLEAR_DAY,19.21,996.42,36.91,91.81,3.38
fangshan_aq,2018-04-28 01:00:00,1524877200,39.74,116.14,Suburban Stations,48,,83,0.6,38,5,CLEAR_DAY,19.93,997.42,39.15,108.11,2.73
daxing_aq,2018-04-28 01:00:00,1524877200,39.72,116.4,Suburban Stations,70,243,100,0.5,9,16,CLEAR_DAY,19,1007.48,40.04,192.52,2.5
yizhuang_aq,2018-04-28 01:00:00,1524877200,39.8,116.51,Suburban Stations,59,158,109,0.8,21,9,CLEAR_DAY,18.84,1007.92,39.85,200.88,2.52
tongzhou_aq,2018-04-28 01:00:00,1524877200,39.89,116.66,Suburban Stations,71,173,85,0.8,22,11,CLEAR_DAY,18,1008.92,39.55,179.48,2.92
shunyi_aq,2018-04-28 01:00:00,1524877200,40.13,116.66,Suburban Stations,66,146,55,1,54,11,CLEAR_DAY,18,1006.9,40.04,121.74,3.53
pingchang_aq,2018-04-28 01:00:00,1524877200,40.22,116.23,Suburban Stations,56,115,57,0.5,42,4,CLEAR_DAY,19,985.6,35.01,112.11,3.2
mentougou_aq,2018-04-28 01:00:00,1524877200,39.94,116.11,Suburban Stations,30,116,32,0.4,78,3,CLEAR_DAY,19.14,982.65,36.07,87.84,3.38
pinggu_aq,2018-04-28 01:00:00,1524877200,40.14,117.1,Suburban Stations,41,88,29,0.5,95,6,CLEAR_DAY,19.73,993.19,43.8,186.93,3.86
huairou_aq,2018-04-28 01:00:00,1524877200,40.33,116.63,Suburban Stations,36,89,29,0.6,76,4,CLEAR_DAY,18.85,987.09,40,137.84,3.24
miyun_aq,2018-04-28 01:00:00,1524877200,40.37,116.83,Suburban Stations,47,161,56,0.6,50,4,CLEAR_DAY,18.15,987.21,41.48,170.68,3.74
yanqin_aq,2018-04-28 01:00:00,1524877200,40.45,115.97,Suburban Stations,76,228,88,0.6,19,5,CLEAR_DAY,16,934.37,30.85,235.75,4.88
dingling_aq,2018-04-28 01:00:00,1524877200,40.29,116.22,Other Stations,,138,37,0.5,64,3,CLEAR_DAY,18.84,971.14,34.35,136,2.48
badaling_aq,2018-04-28 01:00:00,1524877200,40.37,115.99,Other Stations,46,174,42,0.4,80,4,CLEAR_DAY,16.42,941.05,31.44,224.09,3.42
miyunshuiku_aq,2018-04-28 01:00:00,1524877200,40.5,116.91,Other Stations,42,109,30,0.4,68,2,CLEAR_DAY,18,977,41.85,197.13,4.57
donggaocun_aq,2018-04-28 01:00:00,1524877200,40.1,117.12,Other Stations,51,92,27,0.5,98,15,CLEAR_DAY,19.6,995.16,43.59,190.96,3.87
yongledian_aq,2018-04-28 01:00:00,1524877200,39.71,116.78,Other Stations,100,154,80,1.5,31,18,CLEAR_DAY,18.37,1009.74,38.27,225.46,6.84
yufa_aq,2018-04-28 01:00:00,1524877200,39.52,116.3,Other Stations,84,155,87,0.7,16,16,CLEAR_DAY,18.3,1008.2,41.69,212.02,5.03
liulihe_aq,2018-04-28 01:00:00,1524877200,39.58,116,Other Stations,53,226,46,0.5,53,3,CLEAR_DAY,19.36,999.66,42.01,128.94,3.23
qianmen_aq,2018-04-28 01:00:00,1524877200,39.9,116.39,Stations Near Traffic,55,148,99,0.7,21,11,CLEAR_DAY,18.26,1006.51,38,110.34,2.57
yongdingmennei_aq,2018-04-28 01:00:00,1524877200,39.88,116.39,Stations Near Traffic,51,162,164,0.9,20,11,CLEAR_DAY,18.65,1006.27,38.08,118.88,2.59
xizhimenbei_aq,2018-04-28 01:00:00,1524877200,39.95,116.35,Stations Near Traffic,74,148,86,0.6,35,6,CLEAR_DAY,18.84,1003,36.84,96.73,3.57
nansanhuan_aq,2018-04-28 01:00:00,1524877200,39.86,116.37,Stations Near Traffic,55,175,110,0.7,11,10,CLEAR_DAY,18.86,1006.03,38.32,128.45,2.48
dongsihuan_aq,2018-04-28 01:00:00,1524877200,39.94,116.48,Stations Near Traffic,61,208,105,0.8,12,11,CLEAR_DAY,18.55,1007.56,38.28,127.6,2.64
dongsi_aq,2018-04-28 02:00:00,1524880800,39.93,116.42,Urban Stations,72,164,74,0.6,50,8,CLEAR_DAY,21,1005.62,34.87,134.2,3.26
tiantan_aq,2018-04-28 02:00:00,1524880800,39.89,116.41,Urban Stations,68,155,97,0.8,29,7,CLEAR_DAY,21,1006.1,35.12,134.62,2.98
guanyuan_aq,2018-04-28 02:00:00,1524880800,39.93,116.34,Urban Stations,64,165,67,0.6,63,9,CLEAR_DAY,21,1003.34,34.26,124.46,3.47
wanshouxigong_aq,2018-04-28 02:00:00,1524880800,39.88,116.35,Urban Stations,67,189,72,0.8,49,8,CLEAR_DAY,21,1004.84,34.92,133.4,3.1
aotizhongxin_aq,2018-04-28 02:00:00,1524880800,39.98,116.4,Urban Stations,69,130,61,0.6,60,7,CLEAR_DAY,21,1004.36,34.14,124.53,3.96
nongzhanguan_aq,2018-04-28 02:00:00,1524880800,39.94,116.46,Urban Stations,66,150,89,0.7,33,7,CLEAR_DAY,20.85,1006.74,35.39,142.62,2.94
wanliu_aq,2018-04-28 02:00:00,1524880800,39.99,116.29,Urban Stations,50,157,54,0.6,76,8,CLEAR_DAY,21,1000.31,33.12,116.84,4.35
beibuxinqu_aq,2018-04-28 02:00:00,1524880800,40.09,116.17,Urban Stations,47,181,62,0.7,57,3,CLEAR_DAY,21,986.15,30.88,125.33,4.27
zhiwuyuan_aq,2018-04-28 02:00:00,1524880800,40,116.21,Urban Stations,,,,,,,CLEAR_DAY,21,991.05,32.01,114.18,4.5
fengtaihuayuan_aq,2018-04-28 02:00:00,1524880800,39.86,116.28,Urban Stations,51,170,60,0.7,69,8,CLEAR_DAY,21.1,1002.89,34.52,125.15,3.25
yungang_aq,2018-04-28 02:00:00,1524880800,39.82,116.15,Urban Stations,51,81,46,0.6,78,6,CLEAR_DAY,21.63,994.09,33.93,114.25,3.7
gucheng_aq,2018-04-28 02:00:00,1524880800,39.91,116.18,Urban Stations,54,139,58,0.6,71,5,CLEAR_DAY,21.14,994.45,33.1,112.63,4.03
fangshan_aq,2018-04-28 02:00:00,1524880800,39.74,116.14,Suburban Stations,52,,81,0.6,56,7,CLEAR_DAY,21.86,997.39,35,121.37,3.6
daxing_aq,2018-04-28 02:00:00,1524880800,39.72,116.4,Suburban Stations,65,220,101,0.5,21,17,CLEAR_DAY,21,1006.96,37.72,190.35,2.7
yizhuang_aq,2018-04-28 02:00:00,1524880800,39.8,116.51,Suburban Stations,67,183,107,1,27,10,CLEAR_DAY,20.95,1007.32,37.67,198.94,2.63
tongzhou_aq,2018-04-28 02:00:00,1524880800,39.89,116.66,Suburban Stations,75,204,85,0.8,37,12,CLEAR_DAY,20.06,1008.35,37.89,193.74,3.47
shunyi_aq,2018-04-28 02:00:00,1524880800,40.13,116.66,Suburban Stations,75,171,48,0.9,81,13,CLEAR_DAY,20.84,1006.44,38.07,153.77,4.19
pingchang_aq,2018-04-28 02:00:00,1524880800,40.22,116.23,Suburban Stations,49,153,42,0.5,72,4,CLEAR_DAY,21,985.76,30.57,144.1,4.46
mentougou_aq,2018-04-28 02:00:00,1524880800,39.94,116.11,Suburban Stations,42,152,50,0.5,80,5,CLEAR_DAY,21.14,981.36,31.75,109.81,4.14
pinggu_aq,2018-04-28 02:00:00,1524880800,40.14,117.1,Suburban Stations,51,100,27,0.6,123,18,CLEAR_DAY,21.73,992.69,42.77,207.37,5.37
huairou_aq,2018-04-28 02:00:00,1524880800,40.33,116.63,Suburban Stations,52,121,31,0.5,95,6,CLEAR_DAY,21,987.23,37.28,165.03,5.25
miyun_aq,2018-04-28 02:00:00,1524880800,40.37,116.83,Suburban Stations,55,150,43,0.6,95,7,CLEAR_DAY,21,987.05,38.99,184.65,6.01
yanqin_aq,2018-04-28 02:00:00,1524880800,40.45,115.97,Suburban Stations,84,184,66,0.5,63,5,CLEAR_DAY,19,933.62,24.93,233.35,7.29
dingling_aq,2018-04-28 02:00:00,1524880800,40.29,116.22,Other Stations,,136,39,0.5,78,3,CLEAR_DAY,20.89,974.65,29.74,160.97,4.35
badaling_aq,2018-04-28 02:00:00,1524880800,40.37,115.99,Other Stations,44,199,44,0.5,79,7,CLEAR_DAY,19.28,940.48,25.35,226.79,5.57
miyunshuiku_aq,2018-04-28 02:00:00,1524880800,40.5,116.91,Other Stations,39,116,31,0.4,81,2,CLEAR_DAY,21,976.51,38.18,198.77,6.89
donggaocun_aq,2018-04-28 02:00:00,1524880800,40.1,117.12,Other Stations,60,120,42,0.6,79,15,CLEAR_DAY,21.6,994.64,42.74,211.03,5.45
yongledian_aq,2018-04-28 02:00:00,1524880800,39.71,116.78,Other Stations,80,145,52,1.1,86,23,CLEAR_DAY,20.87,1009.16,37.87,229.64,7.17
yufa_aq,2018-04-28 02:00:00,1524880800,39.52,116.3,Other Stations,97,181,59,0.6,63,23,CLEAR_DAY,21,1007.67,39.65,208.74,4.53
liulihe_aq,2018-04-28 02:00:00,1524880800,39.58,116,Other Stations,53,202,39,0.5,69,3,CLEAR_DAY,21.21,999.16,38.18,135.52,4.21
qianmen_aq,2018-04-28 02:00:00,1524880800,39.9,116.39,Stations Near Traffic,55,170,85,0.7,47,12,CLEAR_DAY,21,1006.24,35.02,130.52,2.99
yongdingmennei_aq,2018-04-28 02:00:00,1524880800,39.88,116.39,Stations Near Traffic,60,164,133,0.8,55,18,CLEAR_DAY,21,1005.99,35.15,136.05,2.97
xizhimenbei_aq,2018-04-28 02:00:00,1524880800,39.95,116.35,Stations Near Traffic,81,161,84,0.6,45,12,CLEAR_DAY,21,1002.4,33.69,120.29,4.02
nansanhuan_aq,2018-04-28 02:00:00,1524880800,39.86,116.37,Stations Near Traffic,65,171,100,0.7,32,10,CLEAR_DAY,21,1005.79,35.46,142.56,2.86
dongsihuan_aq,2018-04-28 02:00:00,1524880800,39.94,116.48,Stations Near Traffic,67,178,94,0.7,34,11,CLEAR_DAY,20.84,1006.95,35.52,144.51,2.97
dongsi_aq,2018-04-28 03:00:00,1524884400,39.93,116.42,Urban Stations,82,173,60,0.6,89,8,CLEAR_DAY,23.22,1004.66,32.04,148.85,4.49
tiantan_aq,2018-04-28 03:00:00,1524884400,39.89,116.41,Urban Stations,81,174,87,0.8,60,8,CLEAR_DAY,23.17,1005.07,32.2,149.11,4.17
guanyuan_aq,2018-04-28 03:00:00,1524884400,39.93,116.34,Urban Stations,70,155,58,0.6,102,10,CLEAR_DAY,23.51,1002.98,31.25,139.38,4.83
wanshouxigong_aq,2018-04-28 03:00:00,1524884400,39.88,116.35,Urban Stations,71,179,64,0.8,81,7,CLEAR_DAY,23.39,1004.08,31.92,146.05,4.41
aotizhongxin_aq,2018-04-28 03:00:00,1524884400,39.98,116.4,Urban Stations,71,134,53,0.6,91,7,CLEAR_DAY,23.22,1003.53,31.32,141.91,5.28
nongzhanguan_aq,2018-04-28 03:00:00,1524884400,39.94,116.46,Urban Stations,69,167,76,0.7,62,7,CLEAR_DAY,22.92,1005.79,32.77,156.07,4.14
wanliu_aq,2018-04-28 03:00:00,1524884400,39.99,116.29,Urban Stations,63,174,53,0.7,97,5,CLEAR_DAY,23.75,1000.18,30.07,133.4,5.75
beibuxinqu_aq,2018-04-28 03:00:00,1524884400,40.09,116.17,Urban Stations,48,201,61,0.7,77,4,CLEAR_DAY,23.24,986.28,27.38,141.01,6.02
zhiwuyuan_aq,2018-04-28 03:00:00,1524884400,40,116.21,Urban Stations,,,,,,,CLEAR_DAY,23.79,994.27,28.88,129.52,6.13
fengtaihuayuan_aq,2018-04-28 03:00:00,1524884400,39.86,116.28,Urban Stations,98,164,56,0.7,97,8,CLEAR_DAY,23.55,1002.43,31.34,138.47,4.71
yungang_aq,2018-04-28 03:00:00,1524884400,39.82,116.15,Urban Stations,48,78,34,0.5,120,6,CLEAR_DAY,23.07,992.95,30.35,131.57,5.16
gucheng_aq,2018-04-28 03:00:00,1524884400,39.91,116.18,Urban Stations,59,138,52,0.5,98,5,CLEAR_DAY,23.29,995.58,29.74,128.32,5.51
fangshan_aq,2018-04-28 03:00:00,1524884400,39.74,116.14,Suburban Stations,58,,70,0.6,90,7,CLEAR_DAY,23,995.97,31.78,137.81,4.96
daxing_aq,2018-04-28 03:00:00,1524884400,39.72,116.4,Suburban Stations,81,240,63,0.6,37,15,CLEAR_DAY,23.06,1006.19,34.9,187.55,3.74
yizhuang_aq,2018-04-28 03:00:00,1524884400,39.8,116.51,Suburban Stations,74,184,104,1,51,12,CLEAR_DAY,22.87,1006.51,34.9,189.93,3.57
tongzhou_aq,2018-04-28 03:00:00,1524884400,39.89,116.66,Suburban Stations,83,191,80,0.8,61,13,CLEAR_DAY,22.06,1007.51,35.79,197.54,4.41
shunyi_aq,2018-04-28 03:00:00,1524884400,40.13,116.66,Suburban Stations,74,168,47,0.9,104,13,CLEAR_DAY,22,1005.63,36.22,169.55,5.82
pingchang_aq,2018-04-28 03:00:00,1524884400,40.22,116.23,Suburban Stations,50,161,32,0.4,101,5,CLEAR_DAY,23.07,983.99,27.11,157.45,6.52
mentougou_aq,2018-04-28 03:00:00,1524884400,39.94,116.11,Suburban Stations,,32,60,0.6,84,2,CLEAR_DAY,23.09,981.43,28.17,126.37,5.62
pinggu_aq,2018-04-28 03:00:00,1524884400,40.14,117.1,Suburban Stations,67,128,29,0.7,142,18,CLEAR_DAY,22.87,991.97,41.03,216.32,6.78
huairou_aq,2018-04-28 03:00:00,1524884400,40.33,116.63,Suburban Stations,54,134,28,0.6,115,6,CLEAR_DAY,22.85,986.56,35.23,173.12,7.62
miyun_aq,2018-04-28 03:00:00,1524884400,40.37,116.83,Suburban Stations,60,137,40,0.6,124,8,CLEAR_DAY,23,985.98,36.79,187.65,8.02
yanqin_aq,2018-04-28 03:00:00,1524884400,40.45,115.97,Suburban Stations,68,183,54,0.7,75,10,CLEAR_DAY,21,933.35,20.08,230.21,9.44
dingling_aq,2018-04-28 03:00:00,1524884400,40.29,116.22,Other Stations,,139,41,0.5,89,4,CLEAR_DAY,22.89,969.34,25.61,173.67,6.47
badaling_aq,2018-04-28 03:00:00,1524884400,40.37,115.99,Other Stations,59,202,55,0.9,73,21,CLEAR_DAY,21.28,939.98,20.61,222.81,7.4
miyunshuiku_aq,2018-04-28 03:00:00,1524884400,40.5,116.91,Other Stations,52,124,21,0.4,127,5,CLEAR_DAY,23,975.81,35.8,196.63,8.69
donggaocun_aq,2018-04-28 03:00:00,1524884400,40.1,117.12,Other Stations,68,122,38,0.6,110,18,CLEAR_DAY,22.8,993.92,41.05,219.94,6.9
yongledian_aq,2018-04-28 03:00:00,1524884400,39.71,116.78,Other Stations,87,154,42,1,120,25,CLEAR_DAY,22.83,1008.37,36.15,228.22,7.48
yufa_aq,2018-04-28 03:00:00,1524884400,39.52,116.3,Other Stations,107,187,41,0.7,107,22,CLEAR_DAY,23,1006.9,37.42,201.4,4.74
liulihe_aq,2018-04-28 03:00:00,1524884400,39.58,116,Other Stations,51,226,43,0.5,86,4,CLEAR_DAY,23,998.51,35.12,145.12,5.49
qianmen_aq,2018-04-28 03:00:00,1524884400,39.9,116.39,Stations Near Traffic,70,172,67,0.7,87,11,CLEAR_DAY,23.09,1005.18,32.06,146.91,4.12
yongdingmennei_aq,2018-04-28 03:00:00,1524884400,39.88,116.39,Stations Near Traffic,79,273,112,0.9,96,19,CLEAR_DAY,23.23,1004.97,32.25,149.72,4.19
xizhimenbei_aq,2018-04-28 03:00:00,1524884400,39.95,116.35,Stations Near Traffic,90,152,75,0.7,73,13,CLEAR_DAY,23.54,1002.1,30.77,136.91,5.4
nansanhuan_aq,2018-04-28 03:00:00,1524884400,39.86,116.37,Stations Near Traffic,82,168,91,0.8,63,9,CLEAR_DAY,23.33,1004.8,32.51,153.35,4.13
dongsihuan_aq,2018-04-28 03:00:00,1524884400,39.94,116.48,Stations Near Traffic,72,183,102,0.8,45,12,CLEAR_DAY,22.77,1006.04,33.05,158.59,4.19
dongsi_aq,2018-04-28 04:00:00,1524888000,39.93,116.42,Urban Stations,83,174,55,0.7,120,7,CLEAR_DAY,24.45,1003.38,31.1,151.16,6.33
tiantan_aq,2018-04-28 04:00:00,1524888000,39.89,116.41,Urban Stations,117,207,64,0.9,108,9,CLEAR_DAY,24.38,1003.63,31.32,151.69,6.08
guanyuan_aq,2018-04-28 04:00:00,1524888000,39.93,116.34,Urban Stations,85,158,59,0.6,127,8,CLEAR_DAY,25.08,1001.6,30.33,144.94,6.7
wanshouxigong_aq,2018-04-28 04:00:00,1524888000,39.88,116.35,Urban Stations,92,205,60,1,110,7,CLEAR_DAY,24.85,1002.65,31.1,149.95,6.32
aotizhongxin_aq,2018-04-28 04:00:00,1524888000,39.98,116.4,Urban Stations,78,134,54,0.6,115,7,CLEAR_DAY,24.47,1002.23,30.27,146.09,7.05
nongzhanguan_aq,2018-04-28 04:00:00,1524888000,39.94,116.46,Urban Stations,85,188,75,0.8,89,6,CLEAR_DAY,24.21,1004.64,31.92,156.95,5.96
wanliu_aq,2018-04-28 04:00:00,1524888000,39.99,116.29,Urban Stations,63,164,46,0.6,130,4,CLEAR_DAY,25.57,998.59,28.99,139.25,7.62
beibuxinqu_aq,2018-04-28 04:00:00,1524888000,40.09,116.17,Urban Stations,48,190,53,0.6,108,5,CLEAR_DAY,25.24,984.68,25.83,142.06,7.95
zhiwuyuan_aq,2018-04-28 04:00:00,1524888000,40,116.21,Urban Stations,,,,,,,CLEAR_DAY,25.79,993.59,27.81,135.2,8.05
fengtaihuayuan_aq,2018-04-28 04:00:00,1524888000,39.86,116.28,Urban Stations,81,170,53,0.8,126,8,CLEAR_DAY,25.31,1001.33,30.6,145.5,6.55
yungang_aq,2018-04-28 04:00:00,1524888000,39.82,116.15,Urban Stations,59,,35,0.6,145,6,CLEAR_DAY,25,992.31,29.46,140.47,6.94
gucheng_aq,2018-04-28 04:00:00,1524888000,39.91,116.18,Urban Stations,58,126,45,0.6,133,6,CLEAR_DAY,25.23,994.16,28.87,136.37,7.28
fangshan_aq,2018-04-28 04:00:00,1524888000,39.74,116.14,Suburban Stations,78,,64,0.7,122,7,CLEAR_DAY,25,995.43,30.83,146.4,6.79
daxing_aq,2018-04-28 04:00:00,1524888000,39.72,116.4,Suburban Stations,,257,59,0.7,86,7,CLEAR_DAY,24.94,1005.04,34.67,179.42,5.71
yizhuang_aq,2018-04-28 04:00:00,1524888000,39.8,116.51,Suburban Stations,105,180,80,1,103,14,CLEAR_DAY,24.14,1005.39,34.68,180.36,5.54
tongzhou_aq,2018-04-28 04:00:00,1524888000,39.89,116.66,Suburban Stations,115,206,72,0.9,100,13,CLEAR_DAY,24,1006.41,35.65,191.58,5.99
shunyi_aq,2018-04-28 04:00:00,1524888000,40.13,116.66,Suburban Stations,79,152,48,0.9,128,13,CLEAR_DAY,24,1004.38,36.07,170.09,7.86
pingchang_aq,2018-04-28 04:00:00,1524888000,40.22,116.23,Suburban Stations,63,160,27,0.5,131,6,CLEAR_DAY,25.07,981.5,24.61,155.85,8.38
mentougou_aq,2018-04-28 04:00:00,1524888000,39.94,116.11,Suburban Stations,37,,51,0.5,119,3,CLEAR_DAY,25.09,980.48,27,132.5,7.54
pinggu_aq,2018-04-28 04:00:00,1524888000,40.14,117.1,Suburban Stations,107,164,26,0.9,178,19,CLEAR_DAY,24,991.03,40.96,220.22,7.75
huairou_aq,2018-04-28 04:00:00,1524888000,40.33,116.63,Suburban Stations,,6,25,0.6,134,6,CLEAR_DAY,24,983.52,33.59,171.1,9.56
